id,years_active,years_plus,gdppc,colony_bool,prim_meth,sec_defect,regime_support,repression,camp_support,camp_size,sdirect,indiscrim,cold_war,pi_education,pi_soc_welfare,pi_trad_media,pi_new_media,pi_police,pi_armed_wing,pi_courts,pi_pol_party,any_pi,in_media,failure,success
1,1,2,1160.6705,1,0,1,1,3,0,3,0,1,1,1,0,1,1,1,1,0,1,1,2,0,0
1,2,3,1152.6461,1,0,1,1,3,0,NA,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0
1,3,4,1154.1895,1,0,1,1,3,0,NA,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1
2,1,2,2013.3427,1,1,0,1,3,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
2,2,3,2141.6341,1,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
2,3,4,2290.7846,1,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
2,4,5,2175.3619,1,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
3,1,2,1023,0,1,1,0,3,1,2,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0
3,2,3,1019,0,1,1,0,3,1,2,1,1,1,0,0,0,1,1,0,1,1,1,2,0,0
3,3,4,1144,0,1,1,0,3,1,2,0,1,1,0,0,0,1,1,0,1,1,1,2,0,0
3,4,5,1270,0,1,1,0,3,1,2,0,1,1,0,0,0,1,1,0,1,1,1,2,0,0
3,5,6,1347,0,1,1,0,3,1,2,0,1,1,0,0,0,1,1,0,1,1,1,2,0,0
3,6,7,1337,0,1,1,0,3,1,2,0,1,1,0,0,0,1,1,0,1,1,1,2,0,0
3,7,8,1304,0,1,1,0,3,1,2,0,1,1,0,0,0,1,1,0,1,1,1,2,0,0
3,8,9,1344,0,1,1,0,3,1,2,0,1,1,1,0,1,1,1,0,1,1,1,2,0,0
3,9,10,1211,0,1,1,0,3,1,2,0,1,1,1,0,1,1,1,0,1,1,1,2,0,0
3,10,11,1101,0,1,1,0,3,1,2,0,1,1,1,0,1,1,1,0,1,1,1,2,0,1
4,1,2,1070,0,1,1,0,3,0,2,0,0,1,0,0,1,0,0,0,0,1,1,2,0,1
5,1,2,3948,0,0,0,1,1,0,NA,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
5,2,3,3983,0,0,0,1,2,0,2,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0
5,3,4,2942.1006,0,0,0,1,3,0,3,0,1,1,0,0,1,0,0,0,0,1,1,2,0,1
6,1,2,2193,1,0,NA,0,3,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
6,2,3,2182,1,0,NA,0,3,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
6,3,4,2291,1,1,NA,0,3,1,1,0,1,1,0,0,1,0,0,0,1,1,1,2,0,0
6,4,5,2303,1,1,NA,0,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,2,0,0
6,5,6,2475,1,1,NA,0,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,2,0,0
6,6,7,2699,1,1,NA,0,3,1,2,NA,1,1,0,0,1,0,0,0,1,1,1,2,0,0
6,7,8,2740,1,1,NA,0,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,2,0,0
6,8,9,3178,1,1,NA,0,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,2,0,0
6,9,10,3328,1,1,NA,0,3,1,2,0,1,1,0,0,0,0,0,0,1,1,1,2,0,0
6,10,11,2868,1,1,NA,0,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,2,0,0
6,11,12,2284,1,1,NA,0,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,2,0,1
7,1,2,1780,1,0,0,0,3,1,1,NA,1,1,0,0,0,0,0,0,0,1,1,2,0,0
7,2,3,1777.7838,1,0,0,0,3,1,1,NA,0,1,0,0,0,0,0,0,0,1,1,1,0,1
8,1,2,802.9305,1,0,NA,0,3,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0
8,2,3,865.7632,1,0,1,0,3,0,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
10,1,2,14287.5583,1,0,0,0,3,0,5,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0
11,1,2,5942,0,1,1,0,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1
12,1,2,1504.4499,1,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
13,1,2,1983.524,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1
14,1,2,3054,0,1,NA,0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0
14,2,3,1690,0,1,NA,NA,3,1,1,0,1,1,0,0,0,0,0,0,1,0,1,2,0,1
15,1,2,1776,1,0,0,NA,3,1,1,0,1,1,0,0,1,0,0,0,0,1,1,2,0,0
15,2,3,1729,1,0,1,NA,3,1,2,1,NA,1,0,0,0,0,0,0,0,1,1,2,0,1
16,1,2,6038.2444,1,0,1,0,2,1,3,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
17,1,2,NA,1,0,0,1,3,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,3,NA,1,0,0,1,2,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
17,3,4,NA,1,0,0,1,2,0,NA,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
17,4,5,NA,1,0,0,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
17,5,6,NA,1,0,0,1,2,0,NA,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
17,6,7,NA,1,0,0,1,0,0,NA,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
18,1,2,1274,1,0,1,NA,3,0,5,1,1,1,0,0,0,0,0,0,0,1,1,2,0,1
19,1,2,11923,1,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
19,2,3,11615,1,0,1,0,3,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
21,1,2,1361,1,0,1,0,3,0,5,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0
21,2,3,1411,1,0,1,0,3,0,5,0,1,1,0,0,0,0,0,0,0,1,1,2,1,0
22,1,2,1291,1,1,1,1,3,1,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
22,2,3,1325,1,1,1,1,3,1,2,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1
23,1,2,12648.4035,0,0,0,1,2,0,3,0,1,0,0,1,1,0,0,0,0,1,1,2,0,0
23,2,3,13985.7027,0,0,0,1,3,0,3,0,1,0,0,1,1,0,0,0,0,1,1,2,0,0
23,3,4,14756.5651,0,0,0,1,3,0,1,0,1,0,1,1,1,1,1,0,1,1,1,2,0,0
23,4,5,13568.1531,0,0,0,0,3,1,2,1,1,0,0,1,1,1,0,0,0,1,1,2,0,0
23,5,6,14532.1722,0,0,1,0,3,1,3,1,0,0,1,1,1,1,0,0,0,1,1,2,0,1
24,1,2,7653,1,0,1,0,3,1,4,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
24,2,3,6743,1,0,1,0,3,1,4,1,1,1,0,0,1,0,0,0,0,0,1,2,0,0
24,3,4,6715,1,0,1,0,3,1,4,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0
25,1,2,9283,1,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0
25,2,3,9256,1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
25,3,4,9193,1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
25,4,5,9392,1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0
25,5,6,9699,1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
25,6,7,10008.5507,1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
25,7,8,10262.2107,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
25,8,9,10357.8291,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
25,9,10,10721.0082,1,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0
25,10,11,9944.9527,1,0,0,0,3,0,3,0,1,0,0,1,0,0,0,1,0,1,1,2,0,0
25,11,12,10386.499100000001,1,0,0,0,3,1,3,0,1,0,0,1,0,0,0,1,0,1,1,2,0,0
25,12,13,11030.3432,1,0,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0
25,13,14,11510.8774,1,0,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
25,14,15,11894.2028,1,0,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
25,15,16,12613.3961,1,0,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,1,1,2,0,1
